Joueur 1: 23AK5 (926), type : 0
Joueur 115: K8T73 (1000), type : 0
Joueur 116: K8A2Q (863), type : 0
Joueur 117: K938T (647), type : 0
Joueur 118: K9QT8 (40), type : 0
Joueur 119: KT725 (9), type : 0
Joueur 120: KA385 (998), type : 0
Joueur 121: A283T (861), type : 0
Joueur 122: A3876 (467), type : 0
Joueur 123: A42QK (829), type : 0
Joueur 124: A46TQ (27), type : 0
Joueur 125: A5T29 (384), type : 0
Joueur 126: A62T9 (275), type : 0
Joueur 127: A7Q5K (148), type : 0
Joueur 128: A8T65 (846), type : 0
Joueur 129: A8Q6T (828), type : 0
Joueur 130: A8Q72 (731), type : 0
Joueur 131: A924Q (715), type : 0
Joueur 132: A9257 (171), type : 0
Joueur 133: A98TQ (590), type : 0
Joueur 134: AK4T3 (223), type : 0
Joueur 135: J2873 (209), type : 1
Joueur 136: J2T56 (884), type : 1
Joueur 137: J3TQ6 (619), type : 1
Joueur 138: J45K2 (691), type : 1
Joueur 139: J56T8 (781), type : 1
Joueur 140: J6K25 (581), type : 1
Joueur 141: J7TQ9 (33), type : 1
Joueur 142: J8946 (933), type : 1
Joueur 143: JQ254 (668), type : 1
Joueur 144: JQ35K (340), type : 1
Joueur 145: JQT62 (3), type : 1
Joueur 146: JK328 (214), type : 1
Joueur 147: 22QA3 (152), type : 1
Joueur 148: 239Q2 (386), type : 1
Joueur 149: 23Q25 (461), type : 1
Joueur 150: 24337 (183), type : 1
Joueur 151: 2488Q (598), type : 1
Joueur 152: 25K24 (858), type : 1
Joueur 153: 278A7 (18), type : 1
Joueur 154: 2849J (857), type : 1
Joueur 155: 2962T (408), type : 1
Joueur 156: 2K2Q9 (5), type : 1
Joueur 157: 2A343 (133), type : 1
Joueur 158: 2A85A (853), type : 1
Joueur 159: 325J4 (58), type : 1
Joueur 160: 33265 (125), type : 1
Joueur 161: 34Q38 (132), type : 1
Joueur 162: 37QTQ (575), type : 1
Joueur 163: 3QQ45 (889), type : 1
Joueur 164: 3K398 (307), type : 1
Joueur 165: 3K3T2 (145), type : 1
Joueur 166: 3AJ86 (930), type : 1
Joueur 167: 3A24A (610), type : 1
Joueur 168: 3A623 (745), type : 1
Joueur 169: 3ATA6 (474), type : 1
Joueur 170: 4J295 (489), type : 1
Joueur 171: 4J638 (370), type : 1
Joueur 172: 4J6KA (571), type : 1
Joueur 173: 4JTK5 (228), type : 1
Joueur 174: 454Q7 (430), type : 1
Joueur 175: 45Q4A (837), type : 1
Joueur 176: 46J72 (369), type : 1
Joueur 177: 465T4 (283), type : 1
Joueur 178: 46947 (311), type : 1
Joueur 179: 48493 (106), type : 1
Joueur 180: 4996T (255), type : 1
Joueur 181: 49T92 (81), type : 1
Joueur 182: 4T23T (642), type : 1
Joueur 183: 52TJ9 (143), type : 1
Joueur 184: 52Q28 (136), type : 1
Joueur 185: 563KK (565), type : 1
Joueur 186: 57T79 (415), type : 1
Joueur 187: 58892 (654), type : 1
Joueur 188: 592T5 (873), type : 1
Joueur 189: 59563 (373), type : 1
Joueur 190: 5Q3T5 (782), type : 1
Joueur 191: 5KJ47 (548), type : 1
Joueur 192: 5KQ7Q (26), type : 1
Joueur 193: 5A4QJ (580), type : 1
Joueur 194: 5A653 (126), type : 1
Joueur 195: 5A9J8 (190), type : 1
Joueur 196: 6J7AQ (607), type : 1
Joueur 197: 64AA3 (330), type : 1
Joueur 198: 65QJ8 (705), type : 1
Joueur 199: 664T5 (512), type : 1
Joueur 200: 6652A (799), type : 1
Joueur 201: 668Q2 (822), type : 1
Joueur 202: 687K8 (230), type : 1
Joueur 203: 6897J (626), type : 1
Joueur 204: 6986K (664), type : 1
Joueur 205: 6TQ5Q (865), type : 1
Joueur 206: 6K675 (385), type : 1
Joueur 207: 7J3Q2 (413), type : 1
Joueur 208: 7J59T (652), type : 1
Joueur 209: 7JA28 (331), type : 1
Joueur 210: 74462 (111), type : 1
Joueur 211: 74A22 (508), type : 1
Joueur 212: 75583 (411), type : 1
Joueur 213: 75687 (716), type : 1
Joueur 214: 75882 (815), type : 1
Joueur 215: 77836 (792), type : 1
Joueur 216: 785Q8 (139), type : 1
Joueur 217: 78944 (636), type : 1
Joueur 218: 78TAJ (869), type : 1
Joueur 219: 78A4A (838), type : 1
Joueur 220: 78A67 (92), type : 1
Joueur 221: 79422 (721), type : 1
Joueur 222: 794A4 (400), type : 1
Joueur 223: 79743 (529), type : 1
Joueur 224: 7Q5Q6 (671), type : 1
Joueur 225: 7Q82J (22), type : 1
Joueur 226: 7QQ59 (886), type : 1
Joueur 227: 8J6T2 (420), type : 1
Joueur 228: 832TJ (663), type : 1
Joueur 229: 83499 (740), type : 1
Joueur 230: 8369J (503), type : 1
Joueur 231: 84J32 (876), type : 1
Joueur 232: 85232 (839), type : 1
Joueur 233: 86J4K (549), type : 1
Joueur 234: 86348 (274), type : 1
Joueur 235: 87T86 (706), type : 1
Joueur 236: 89T49 (794), type : 1
Joueur 237: 8T24T (760), type : 1
Joueur 238: 8TK44 (628), type : 1
Joueur 239: 8QA5A (416), type : 1
Joueur 240: 8QA87 (777), type : 1
Joueur 241: 8K2A2 (118), type : 1
Joueur 242: 8KT2J (539), type : 1
Joueur 243: 8AA94 (356), type : 1
Joueur 244: 92652 (733), type : 1
Joueur 245: 943AJ (518), type : 1
Joueur 246: 9492K (597), type : 1
Joueur 247: 96567 (165), type : 1
Joueur 248: 96862 (883), type : 1
Joueur 249: 969KT (13), type : 1
Joueur 250: 973K9 (24), type : 1
Joueur 251: 97457 (268), type : 1
Joueur 252: 98395 (390), type : 1
Joueur 253: 9886A (447), type : 1
Joueur 254: 9924Q (871), type : 1
Joueur 255: 9972A (767), type : 1
Joueur 256: 99TA3 (491), type : 1
Joueur 257: 9TAA6 (362), type : 1
Joueur 258: 9Q76J (493), type : 1
Joueur 259: 9KJ76 (979), type : 1
Joueur 260: 9K692 (366), type : 1
Joueur 261: 9AJ4T (208), type : 1
Joueur 262: TJ72A (602), type : 1
Joueur 263: TJ85Q (770), type : 1
Joueur 264: TJA73 (977), type : 1
Joueur 265: TJAK6 (249), type : 1
Joueur 266: T2556 (199), type : 1
Joueur 267: T2866 (224), type : 1
Joueur 268: T2KJ6 (551), type : 1
Joueur 269: T345T (555), type : 1
Joueur 270: T43KT (322), type : 1
Joueur 271: T4834 (895), type : 1
Joueur 272: T5KQJ (959), type : 1
Joueur 273: T5AJ9 (501), type : 1
Joueur 274: T5AAQ (435), type : 1
Joueur 275: TT658 (511), type : 1
Joueur 276: TT825 (817), type : 1
Joueur 277: TQJ92 (676), type : 1
Joueur 278: TA774 (419), type : 1
Joueur 279: Q2Q63 (243), type : 1
Joueur 280: Q2AAT (973), type : 1
Joueur 281: Q598Q (562), type : 1
Joueur 282: Q8KJ5 (732), type : 1
Joueur 283: QT24T (34), type : 1
Joueur 284: QT6J8 (294), type : 1
Joueur 285: QQ359 (558), type : 1
Joueur 286: QK227 (620), type : 1
Joueur 287: QA8J7 (687), type : 1
Joueur 288: KJ973 (273), type : 1
Joueur 289: K2449 (888), type : 1
Joueur 290: K279K (632), type : 1
Joueur 291: K2AAT (742), type : 1
Joueur 292: K4426 (990), type : 1
Joueur 293: K5997 (638), type : 1
Joueur 294: K5TK3 (391), type : 1
Joueur 295: K6944 (940), type : 1
Joueur 296: K85KT (527), type : 1
Joueur 297: K8TT3 (68), type : 1
Joueur 298: KT54K (987), type : 1
Joueur 299: KQTJ4 (238), type : 1
Joueur 300: KQTT4 (82), type : 1
Joueur 301: KK783 (292), type : 1
Joueur 302: KAJ2Q (56), type : 1
Joueur 303: AJ35T (679), type : 1
Joueur 304: AJ364 (717), type : 1
Joueur 305: AJ543 (39), type : 1
Joueur 306: A29KK (371), type : 1
Joueur 307: A3J2T (296), type : 1
Joueur 308: A3448 (498), type : 1
Joueur 309: A384A (424), type : 1
Joueur 310: A39JQ (392), type : 1
Joueur 311: A3Q8Q (749), type : 1
Joueur 312: A3QA8 (971), type : 1
Joueur 313: A4Q24 (380), type : 1
Joueur 314: A5AQ3 (16), type : 1
Joueur 315: A74A2 (431), type : 1
Joueur 316: A848T (641), type : 1
Joueur 317: A8A46 (708), type : 1
Joueur 318: A963A (321), type : 1
Joueur 319: ATT26 (911), type : 1
Joueur 320: AQQ49 (887), type : 1
Joueur 321: AQAK6 (579), type : 1
Joueur 322: 226KK (981), type : 2
Joueur 323: 22A8A (851), type : 2
Joueur 324: 24255 (381), type : 2
Joueur 325: 24A2A (334), type : 2
Joueur 326: 262A6 (561), type : 2
Joueur 327: 27575 (622), type : 2
Joueur 328: 28844 (546), type : 2
Joueur 329: 29424 (131), type : 2
Joueur 330: 2TK2T (244), type : 2
Joueur 331: 2Q662 (532), type : 2
Joueur 332: 2K7K2 (19), type : 2
Joueur 333: 34483 (387), type : 2
Joueur 334: 34488 (713), type : 2
Joueur 335: 34943 (233), type : 2
Joueur 336: 36356 (306), type : 2
Joueur 337: 363QQ (282), type : 2
Joueur 338: 37437 (41), type : 2
Joueur 339: 37TT3 (154), type : 2
Joueur 340: 38899 (239), type : 2
Joueur 341: 38KK8 (457), type : 2
Joueur 342: 3T38T (692), type : 2
Joueur 343: 3Q4Q4 (840), type : 2
Joueur 344: 442T2 (116), type : 2
Joueur 345: 44337 (540), type : 2
Joueur 346: 445K5 (194), type : 2
Joueur 347: 44998 (86), type : 2
Joueur 348: 4499A (520), type : 2
Joueur 349: 44K7K (20), type : 2
Joueur 350: 464AA (393), type : 2
Joueur 351: 474K7 (110), type : 2
Joueur 352: 484T8 (603), type : 2
Joueur 353: 49488 (146), type : 2
Joueur 354: 4Q88Q (207), type : 2
Joueur 355: 4QTTQ (866), type : 2
Joueur 356: 4QQ47 (634), type : 2
Joueur 357: 52527 (262), type : 2
Joueur 358: 53445 (266), type : 2
Joueur 359: 53537 (852), type : 2
Joueur 360: 54334 (35), type : 2
Joueur 361: 54884 (130), type : 2
Joueur 362: 55TT2 (341), type : 2
Joueur 363: 55TT3 (985), type : 2
Joueur 364: 55TT4 (593), type : 2
Joueur 365: 57544 (492), type : 2
Joueur 366: 5T22T (601), type : 2
Joueur 367: 5KK5T (910), type : 2
Joueur 368: 5ATAT (774), type : 2
Joueur 369: 63763 (150), type : 2
Joueur 370: 63QQ6 (261), type : 2
Joueur 371: 64463 (123), type : 2
Joueur 372: 655A6 (95), type : 2
Joueur 373: 65868 (718), type : 2
Joueur 374: 66KK7 (564), type : 2
Joueur 375: 66ATT (25), type : 2
Joueur 376: 66AA2 (167), type : 2
Joueur 377: 66AA9 (905), type : 2
Joueur 378: 6996Q (624), type : 2
Joueur 379: 6Q886 (924), type : 2
Joueur 380: 73667 (394), type : 2
Joueur 381: 74745 (793), type : 2
Joueur 382: 74QQ7 (225), type : 2
Joueur 383: 75857 (965), type : 2
Joueur 384: 77866 (972), type : 2
Joueur 385: 778K8 (665), type : 2
Joueur 386: 77QQT (908), type : 2
Joueur 387: 78487 (902), type : 2
Joueur 388: 7T76T (635), type : 2
Joueur 389: 7A887 (560), type : 2
Joueur 390: 7AA74 (347), type : 2
Joueur 391: 83866 (227), type : 2
Joueur 392: 84A8A (522), type : 2
Joueur 393: 86383 (952), type : 2
Joueur 394: 87722 (346), type : 2
Joueur 395: 882KK (300), type : 2
Joueur 396: 88799 (820), type : 2
Joueur 397: 89489 (738), type : 2
Joueur 398: 922KK (874), type : 2
Joueur 399: 92898 (578), type : 2
Joueur 400: 93392 (7), type : 2
Joueur 401: 93669 (542), type : 2
Joueur 402: 93838 (270), type : 2
Joueur 403: 94KK9 (418), type : 2
Joueur 404: 95859 (210), type : 2
Joueur 405: 95898 (617), type : 2
Joueur 406: 95QQ5 (567), type : 2
Joueur 407: 95K95 (609), type : 2
Joueur 408: 95A9A (57), type : 2
Joueur 409: 993KK (956), type : 2
Joueur 410: 99552 (660), type : 2
Joueur 411: 99772 (289), type : 2
Joueur 412: 9977Q (465), type : 2
Joueur 413: 99TTK (104), type : 2
Joueur 414: 99AA8 (326), type : 2
Joueur 415: 9Q9Q7 (134), type : 2
Joueur 416: T4T88 (67), type : 2
Joueur 417: T6T99 (723), type : 2
Joueur 418: T8833 (877), type : 2
Joueur 419: TT44K (975), type : 2
Joueur 420: TTKK3 (526), type : 2
Joueur 421: TQT88 (172), type : 2
Joueur 422: TK66K (96), type : 2
Joueur 423: TKTK5 (452), type : 2
Joueur 424: TKK6T (712), type : 2
Joueur 425: Q3223 (764), type : 2
Joueur 426: Q49Q9 (658), type : 2
Joueur 427: Q5Q52 (10), type : 2
Joueur 428: Q65Q6 (31), type : 2
Joueur 429: Q664Q (220), type : 2
Joueur 430: Q667Q (102), type : 2
Joueur 431: Q73Q3 (633), type : 2
Joueur 432: Q88Q3 (787), type : 2
Joueur 433: Q9595 (667), type : 2
Joueur 434: QQ323 (434), type : 2
Joueur 435: QATQT (339), type : 2
Joueur 436: QAQA7 (631), type : 2
Joueur 437: K282K (374), type : 2
Joueur 438: K377K (28), type : 2
Joueur 439: K4AAK (656), type : 2
Joueur 440: K533K (122), type : 2
Joueur 441: K8558 (46), type : 2
Joueur 442: K9K92 (495), type : 2
Joueur 443: KQQ55 (232), type : 2
Joueur 444: KQQAK (180), type : 2
Joueur 445: KQK9Q (949), type : 2
Joueur 446: KK244 (71), type : 2
Joueur 447: KK644 (659), type : 2
Joueur 448: KK989 (574), type : 2
Joueur 449: KKQ6Q (500), type : 2
Joueur 450: KKQ8Q (287), type : 2
Joueur 451: A2A88 (14), type : 2
Joueur 452: A443A (63), type : 2
Joueur 453: A566A (821), type : 2
Joueur 454: A5A75 (252), type : 2
Joueur 455: A66A4 (814), type : 2
Joueur 456: A66AQ (471), type : 2
Joueur 457: A6996 (192), type : 2
Joueur 458: A744A (469), type : 2
Joueur 459: AQTAT (36), type : 2
Joueur 460: AK3KA (547), type : 2
Joueur 461: AA2Q2 (12), type : 2
Joueur 462: AAT8T (903), type : 2
Joueur 463: JJ4QK (711), type : 3
Joueur 464: J2TT5 (783), type : 3
Joueur 465: J2QQ4 (729), type : 3
Joueur 466: J3352 (138), type : 3
Joueur 467: J339A (953), type : 3
Joueur 468: J3893 (101), type : 3
Joueur 469: J3QJ2 (709), type : 3
Joueur 470: J4272 (187), type : 3
Joueur 471: J4874 (680), type : 3
Joueur 472: J4939 (752), type : 3
Joueur 473: J4TT2 (502), type : 3
Joueur 474: J66K5 (240), type : 3
Joueur 475: J699T (61), type : 3
Joueur 476: J7J24 (363), type : 3
Joueur 477: J7J9Q (79), type : 3
Joueur 478: J7292 (345), type : 3
Joueur 479: J7743 (414), type : 3
Joueur 480: J8779 (218), type : 3
Joueur 481: J8T99 (280), type : 3
Joueur 482: J8A83 (925), type : 3
Joueur 483: J9585 (175), type : 3
Joueur 484: J99AT (410), type : 3
Joueur 485: JT6QT (586), type : 3
Joueur 486: JTA8A (314), type : 3
Joueur 487: JQ6TJ (343), type : 3
Joueur 488: JK4TT (915), type : 3
Joueur 489: JKK3A (696), type : 3
Joueur 490: JAJ43 (848), type : 3
Joueur 491: JA3TT (612), type : 3
Joueur 492: JA525 (808), type : 3
Joueur 493: JA6J4 (553), type : 3
Joueur 494: 2J6J7 (200), type : 3
Joueur 495: 2J62A (241), type : 3
Joueur 496: 2JQTT (942), type : 3
Joueur 497: 22237 (901), type : 3
Joueur 498: 22A26 (355), type : 3
Joueur 499: 232TJ (159), type : 3
Joueur 500: 23422 (643), type : 3
Joueur 501: 24226 (576), type : 3
Joueur 502: 26272 (588), type : 3
Joueur 503: 266QJ (288), type : 3
Joueur 504: 28JKK (149), type : 3
Joueur 505: 28788 (151), type : 3
Joueur 506: 2TJ5J (514), type : 3
Joueur 507: 2AT22 (968), type : 3
Joueur 508: 3J474 (856), type : 3
Joueur 509: 3J59J (265), type : 3
Joueur 510: 3J959 (655), type : 3
Joueur 511: 32J77 (966), type : 3
Joueur 512: 33398 (922), type : 3
Joueur 513: 333TQ (181), type : 3
Joueur 514: 35334 (376), type : 3
Joueur 515: 36656 (442), type : 3
Joueur 516: 366K6 (754), type : 3
Joueur 517: 38788 (958), type : 3
Joueur 518: 3TTT6 (587), type : 3
Joueur 519: 3QQ2Q (83), type : 3
Joueur 520: 3QQQ5 (830), type : 3
Joueur 521: 3K66J (681), type : 3
Joueur 522: 3K933 (337), type : 3
Joueur 523: 4J47Q (616), type : 3
Joueur 524: 43393 (338), type : 3
Joueur 525: 43A3J (907), type : 3
Joueur 526: 44438 (198), type : 3
Joueur 527: 4446K (309), type : 3
Joueur 528: 4494K (944), type : 3
Joueur 529: 44Q54 (989), type : 3
Joueur 530: 44A84 (351), type : 3
Joueur 531: 4744Q (621), type : 3
Joueur 532: 49244 (914), type : 3
Joueur 533: 5J7J2 (186), type : 3
Joueur 534: 5JQ3Q (962), type : 3
Joueur 535: 52A55 (162), type : 3
Joueur 536: 53565 (912), type : 3
Joueur 537: 53TJ5 (480), type : 3
Joueur 538: 54255 (785), type : 3
Joueur 539: 54T44 (986), type : 3
Joueur 540: 55J93 (847), type : 3
Joueur 541: 55529 (184), type : 3
Joueur 542: 555K6 (89), type : 3
Joueur 543: 55Q5A (955), type : 3
Joueur 544: 578J7 (406), type : 3
Joueur 545: 57QQQ (541), type : 3
Joueur 546: 5887J (803), type : 3
Joueur 547: 5QAQQ (425), type : 3
Joueur 548: 5AKAA (234), type : 3
Joueur 549: 6J263 (60), type : 3
Joueur 550: 6JQ33 (253), type : 3
Joueur 551: 6JQAJ (931), type : 3
Joueur 552: 62444 (771), type : 3
Joueur 553: 65Q55 (158), type : 3
Joueur 554: 65A66 (964), type : 3
Joueur 555: 66526 (246), type : 3
Joueur 556: 666KA (714), type : 3
Joueur 557: 66856 (533), type : 3
Joueur 558: 66T4J (137), type : 3
Joueur 559: 66Q26 (776), type : 3
Joueur 560: 68222 (589), type : 3
Joueur 561: 696J4 (983), type : 3
Joueur 562: 69T66 (862), type : 3
Joueur 563: 6T2JT (923), type : 3
Joueur 564: 6QJ2Q (769), type : 3
Joueur 565: 6KQQQ (30), type : 3
Joueur 566: 7JA8J (251), type : 3
Joueur 567: 72J7T (938), type : 3
Joueur 568: 727QJ (599), type : 3
Joueur 569: 736JJ (789), type : 3
Joueur 570: 73AAA (44), type : 3
Joueur 571: 74424 (303), type : 3
Joueur 572: 74577 (90), type : 3
Joueur 573: 747Q7 (796), type : 3
Joueur 574: 772Q7 (285), type : 3
Joueur 575: 777T5 (835), type : 3
Joueur 576: 778Q7 (318), type : 3
Joueur 577: 7TTT4 (559), type : 3
Joueur 578: 7QJQ9 (494), type : 3
Joueur 579: 7K977 (806), type : 3
Joueur 580: 7A555 (984), type : 3
Joueur 581: 7A774 (864), type : 3
Joueur 582: 8J285 (49), type : 3
Joueur 583: 8J2A8 (403), type : 3
Joueur 584: 8J363 (678), type : 3
Joueur 585: 8J48T (849), type : 3
Joueur 586: 8J99K (483), type : 3
Joueur 587: 8JT28 (585), type : 3
Joueur 588: 8JT83 (611), type : 3
Joueur 589: 8JQQ4 (773), type : 3
Joueur 590: 83J82 (157), type : 3
Joueur 591: 84889 (704), type : 3
Joueur 592: 87333 (182), type : 3
Joueur 593: 877A7 (582), type : 3
Joueur 594: 8799J (202), type : 3
Joueur 595: 882J9 (909), type : 3
Joueur 596: 882K8 (278), type : 3
Joueur 597: 8848Q (637), type : 3
Joueur 598: 88528 (260), type : 3
Joueur 599: 885Q8 (188), type : 3
Joueur 600: 88789 (928), type : 3
Joueur 601: 88853 (741), type : 3
Joueur 602: 888Q2 (812), type : 3
Joueur 603: 88QTJ (360), type : 3
Joueur 604: 8TJ4J (614), type : 3
Joueur 605: 8T2J2 (72), type : 3
Joueur 606: 8T898 (433), type : 3
Joueur 607: 8T98J (980), type : 3
Joueur 608: 8QQQ4 (205), type : 3
Joueur 609: 8KAAJ (448), type : 3
Joueur 610: 8AAAK (768), type : 3
Joueur 611: 9J36J (921), type : 3
Joueur 612: 9J594 (215), type : 3
Joueur 613: 9J636 (650), type : 3
Joueur 614: 9J7AJ (436), type : 3
Joueur 615: 9JTT8 (53), type : 3
Joueur 616: 94JQ9 (897), type : 3
Joueur 617: 94QQQ (43), type : 3
Joueur 618: 95535 (324), type : 3
Joueur 619: 95565 (843), type : 3
Joueur 620: 95585 (201), type : 3
Joueur 621: 9588J (254), type : 3
Joueur 622: 96J2J (349), type : 3
Joueur 623: 96T99 (361), type : 3
Joueur 624: 97277 (193), type : 3
Joueur 625: 9896J (608), type : 3
Joueur 626: 9899K (259), type : 3
Joueur 627: 989AJ (229), type : 3
Joueur 628: 98TJJ (497), type : 3
Joueur 629: 99J76 (204), type : 3
Joueur 630: 99957 (168), type : 3
Joueur 631: 99962 (882), type : 3
Joueur 632: 9998Q (646), type : 3
Joueur 633: 999K5 (38), type : 3
Joueur 634: 9TT7J (627), type : 3
Joueur 635: TJ5QT (479), type : 3
Joueur 636: T2242 (960), type : 3
Joueur 637: T3J9T (291), type : 3
Joueur 638: T5T6J (231), type : 3
Joueur 639: T7767 (84), type : 3
Joueur 640: T8JQJ (937), type : 3
Joueur 641: T8885 (444), type : 3
Joueur 642: TT94T (103), type : 3
Joueur 643: TTT5A (78), type : 3
Joueur 644: TTTA3 (481), type : 3
Joueur 645: TKK3K (810), type : 3
Joueur 646: TATJ6 (364), type : 3
Joueur 647: QJJT2 (662), type : 3
Joueur 648: QJ3QK (784), type : 3
Joueur 649: QJ575 (577), type : 3
Joueur 650: QJ656 (536), type : 3
Joueur 651: QJQTK (651), type : 3
Joueur 652: QJKTT (216), type : 3
Joueur 653: QJA2A (544), type : 3
Joueur 654: Q272J (841), type : 3
Joueur 655: Q2AQJ (69), type : 3
Joueur 656: Q3933 (336), type : 3
Joueur 657: Q3999 (755), type : 3
Joueur 658: Q4424 (530), type : 3
Joueur 659: QQJ47 (94), type : 3
Joueur 660: QAQ6Q (724), type : 3
Joueur 661: QAKKJ (453), type : 3
Joueur 662: KJ27J (674), type : 3
Joueur 663: K2622 (427), type : 3
Joueur 664: K3AAA (572), type : 3
Joueur 665: K7767 (557), type : 3
Joueur 666: K7KJ8 (757), type : 3
Joueur 667: K8A88 (142), type : 3
Joueur 668: KTJT9 (854), type : 3
Joueur 669: KTTT3 (484), type : 3
Joueur 670: KQQ9J (606), type : 3
Joueur 671: KK2JT (328), type : 3
Joueur 672: KK8K4 (185), type : 3
Joueur 673: KKK53 (780), type : 3
Joueur 674: KKATK (468), type : 3
Joueur 675: KAQKK (496), type : 3
Joueur 676: KAKK3 (315), type : 3
Joueur 677: AJJ95 (795), type : 3
Joueur 678: A2QAA (50), type : 3
Joueur 679: A4464 (842), type : 3
Joueur 680: A45AA (657), type : 3
Joueur 681: A4TAA (308), type : 3
Joueur 682: A6777 (23), type : 3
Joueur 683: A92JA (919), type : 3
Joueur 684: A9959 (277), type : 3
Joueur 685: ATKAA (945), type : 3
Joueur 686: AAJ45 (761), type : 3
Joueur 687: AAQA4 (521), type : 3
Joueur 688: AAA75 (155), type : 3
Joueur 689: AAA93 (305), type : 3
Joueur 690: J4334 (316), type : 4
Joueur 691: J6226 (48), type : 4
Joueur 692: J6446 (896), type : 4
Joueur 693: J7667 (748), type : 4
